,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,lat,long,NumberofRooms
6223,360000.0,3,1.75,1255,1113,3.0,0,0,3,8,47.6958,-122.343,4.75
6224,269500.0,3,1.75,1840,7412,1.0,0,0,4,7,47.3933,-122.188,4.75
6226,375000.0,4,1.5,1430,7232,1.5,0,0,3,7,47.7197,-122.328,5.5
6230,275000.0,5,2.25,1820,10500,1.0,0,0,4,7,47.4058,-122.177,7.25
6231,300000.0,2,1.0,1290,2482,2.0,0,0,3,7,47.6972,-122.025,3.0
6232,380000.0,5,2.5,2130,8428,2.0,0,0,3,7,47.4726,-122.282,7.5
6233,200000.0,3,2.0,1170,10051,1.0,0,0,4,7,47.4229,-122.324,5.0
6234,635000.0,3,3.5,1730,1349,3.0,0,0,3,9,47.6224,-122.326,6.5
6236,574000.0,3,2.5,2380,6832,2.0,0,0,3,8,47.5372,-121.876,5.5
6239,271950.0,3,1.5,1220,8400,1.0,0,0,4,7,47.5467,-122.173,4.5
6241,400000.0,2,1.0,1180,10800,1.0,0,0,3,7,47.7273,-122.236,3.0
6242,334000.0,4,2.5,2310,6200,2.0,0,0,3,8,47.3321,-122.172,6.5
6243,332500.0,4,2.0,1440,4855,2.0,0,0,4,7,47.5717,-122.287,6.0
6244,525000.0,2,1.5,1620,1444,2.0,0,0,3,9,47.5892,-122.309,3.5
6245,408000.0,3,2.5,2620,8403,2.0,0,0,3,8,47.3675,-122.042,5.5
6247,411100.0,3,1.5,1040,10323,1.0,0,0,4,7,47.5882,-122.155,4.5
6250,480000.0,5,2.5,2040,9597,1.0,0,0,4,7,47.6544,-122.134,7.5
6252,668000.0,4,2.5,2670,4410,2.0,0,0,3,8,47.5978,-122.038,6.5
6256,675000.0,3,1.5,2510,3600,2.5,0,0,4,8,47.6195,-122.313,4.5
6257,175000.0,3,1.0,1280,7572,1.0,0,0,4,6,47.4491,-122.176,4.0
6258,560000.0,4,1.5,1810,6000,1.0,0,1,3,8,47.5233,-122.386,5.5
6259,538888.0,5,2.75,2080,13189,2.0,0,0,3,8,47.6288,-122.031,7.75
6260,359000.0,4,1.75,1680,9244,2.0,0,0,3,8,47.4612,-122.352,5.75
6261,300000.0,3,2.25,1660,5128,2.0,0,0,3,7,47.7362,-121.967,5.25
6262,273000.0,3,2.5,1650,5994,2.0,0,0,4,7,47.3603,-122.19,5.5
6263,670000.0,3,2.5,1420,1438,2.0,0,0,3,9,47.6265,-122.323,5.5
6264,530000.0,4,2.25,2240,8376,1.0,0,0,3,8,47.6323,-122.029,6.25
6265,625000.0,3,1.5,1230,3060,1.0,0,0,3,7,47.667,-122.333,4.5
6266,248000.0,3,1.0,1260,6000,1.0,0,0,4,6,47.4187,-122.323,4.0
6267,533000.0,3,2.5,2060,4812,2.0,0,0,3,8,47.5793,-122.002,5.5
6270,353500.0,3,2.5,2020,4845,2.0,0,0,3,7,47.3848,-122.033,5.5
6271,435000.0,2,1.75,1910,12142,1.0,0,0,3,9,47.6276,-122.053,3.75
6272,241000.0,3,1.0,1150,10000,1.0,0,0,3,6,47.5075,-122.262,4.0
6276,270000.0,2,1.0,1040,5700,1.0,0,0,3,6,47.519,-122.26,3.0
6277,675000.0,4,1.75,2440,7475,1.0,0,0,4,9,47.6339,-122.096,5.75
6278,499000.0,3,2.5,1720,5940,1.0,0,0,4,8,47.6631,-122.129,5.5
6280,320000.0,4,2.5,2570,4865,2.0,0,0,3,8,47.3588,-122.038,6.5
6282,275000.0,4,2.75,2060,7350,1.0,0,0,3,7,47.3424,-122.275,6.75
6284,550000.0,3,2.5,2340,4200,1.5,0,0,3,7,47.6033,-122.303,5.5
6285,390000.0,5,2.0,2400,9537,1.0,0,0,5,7,47.5112,-122.186,7.0
6286,277000.0,3,2.25,1610,11920,1.0,0,0,4,7,47.3683,-122.279,5.25
6287,236000.0,3,1.75,1090,7647,1.0,0,0,3,7,47.2613,-122.302,4.75
6288,265953.0,3,1.75,1470,13068,1.0,0,0,4,7,47.3096,-122.197,4.75
6289,545000.0,3,2.25,1670,6240,1.0,0,0,4,8,47.6413,-122.113,5.25
6290,535000.0,3,2.5,1850,10109,2.0,0,0,3,8,47.7163,-122.229,5.5
6292,490000.0,4,3.0,2330,3497,2.0,0,0,3,9,47.554,-122.308,7.0
6293,319950.0,4,2.5,2020,7200,1.5,0,0,4,6,47.5223,-121.818,6.5
6294,625000.0,3,1.5,1300,7200,1.0,0,0,5,7,47.6821,-122.196,4.5
6295,248000.0,3,1.0,1180,6947,1.0,0,0,4,7,47.4233,-122.177,4.0
6296,475000.0,3,1.75,1320,7840,1.0,0,0,3,8,47.6024,-122.143,4.75
6297,410000.0,6,2.75,2520,9324,1.0,0,0,4,7,47.7636,-122.294,8.75
6298,670000.0,3,2.5,1680,2000,3.0,0,0,3,9,47.6604,-122.29,5.5
6300,313000.0,2,1.0,1180,4900,1.0,0,0,5,6,47.5321,-122.029,3.0
6304,310650.0,3,1.75,1510,12408,1.0,0,0,4,7,47.5069,-122.141,4.75
6306,580000.0,4,2.5,2150,5000,2.0,0,0,3,8,47.6962,-122.314,6.5
6307,580000.0,3,2.25,1900,3960,1.5,0,0,3,8,47.6122,-122.298,5.25
6309,239950.0,3,2.25,1560,8280,2.0,0,0,4,7,47.3393,-122.259,5.25
6312,250000.0,4,2.0,2130,8400,1.0,0,0,3,7,47.4133,-122.209,6.0
6313,402000.0,4,1.75,1510,9176,1.0,0,0,5,7,47.7651,-122.339,5.75
6314,295000.0,5,3.5,2100,5107,2.0,0,0,3,7,47.5108,-122.257,8.5
6315,355000.0,5,2.5,2344,8000,1.0,0,0,4,8,47.3185,-122.377,7.5
6317,376000.0,3,2.25,1470,9140,2.0,0,2,3,7,47.7162,-122.349,5.25
6319,325000.0,3,1.75,1780,13095,1.0,0,0,4,9,47.367,-122.152,4.75
6320,415000.0,4,2.5,2230,5743,2.0,0,0,3,7,47.7245,-121.957,6.5
6323,240000.0,3,1.5,1290,8366,1.0,0,0,3,7,47.4853,-122.318,4.5
6326,430000.0,2,1.75,1840,14874,1.0,0,2,3,8,47.4382,-122.348,3.75
6327,400000.0,3,1.5,1890,6183,1.0,0,0,3,7,47.5396,-122.269,4.5
6328,455850.0,3,2.25,1820,6000,1.0,0,0,4,7,47.5684,-122.3,5.25
6330,400000.0,3,1.75,1530,10731,1.0,0,0,3,7,47.7655,-122.244,4.75
6331,397500.0,3,1.0,1030,10480,1.0,0,0,4,7,47.5742,-122.139,4.0
6333,287000.0,5,1.5,1730,9230,1.0,0,0,3,7,47.4646,-122.184,6.5
6335,490000.0,3,2.5,2040,9622,2.0,0,0,3,8,47.4833,-121.8,5.5
6336,365000.0,3,2.5,2640,6715,2.0,0,0,3,8,47.441,-122.125,5.5
6337,260000.0,3,2.5,1600,2244,2.0,0,0,3,7,47.4899,-122.164,5.5
6338,505000.0,4,1.0,1480,12675,1.5,0,0,4,7,47.763,-122.342,5.0
6342,440000.0,3,2.0,1650,6408,2.0,0,0,4,8,47.6638,-122.128,5.0
6343,439500.0,4,1.0,1360,5500,1.5,0,0,3,7,47.6878,-122.285,5.0
6344,270000.0,3,2.0,1350,6696,1.0,0,0,5,6,47.4919,-122.187,5.0
6345,306500.0,3,2.5,1970,6291,2.0,0,0,4,7,47.3627,-122.073,5.5
6346,380000.0,3,2.0,1470,1656,2.0,0,0,3,8,47.5653,-122.369,5.0
6347,215000.0,4,1.75,1610,9652,1.0,0,0,5,7,47.3281,-122.135,5.75
6351,494000.0,4,2.5,1830,7345,1.0,0,0,4,8,47.7741,-122.373,6.5
6352,317500.0,4,1.5,1730,7700,1.0,0,0,4,7,47.4996,-122.163,5.5
6353,670000.0,4,2.5,2110,7291,2.0,0,0,4,7,47.6888,-122.201,6.5
6356,250000.0,2,1.5,1088,1360,2.0,0,0,3,7,47.7094,-122.213,3.5
6357,264950.0,3,1.5,1400,10853,1.0,0,0,4,7,47.4433,-122.194,4.5
6358,582500.0,2,2.0,1540,6804,1.0,0,0,5,7,47.7044,-122.372,4.0
6359,384000.0,3,2.5,1540,1564,2.0,0,0,3,7,47.586,-122.313,5.5
6361,320000.0,4,1.75,1730,9520,1.0,0,0,4,7,47.4756,-122.157,5.75
6368,251100.0,4,2.5,1790,5257,2.0,0,0,3,7,47.3849,-122.204,6.5
6376,605000.0,4,2.25,2260,11900,2.0,0,0,3,9,47.6415,-122.057,6.25
6377,690500.0,5,2.0,2000,4211,1.5,0,2,4,7,47.6283,-122.301,7.0
6378,437000.0,2,1.75,1440,4225,1.0,0,0,3,8,47.7143,-122.032,3.75
6380,350000.0,4,2.25,2300,4600,1.5,0,0,4,7,47.5895,-122.311,6.25
6381,480000.0,2,2.25,1490,6770,1.5,0,0,3,8,47.5577,-122.297,4.25
6387,549000.0,2,2.0,1980,6000,1.5,0,0,5,7,47.6809,-122.351,4.0
6388,324950.0,3,2.5,1560,9600,1.0,0,0,3,7,47.457,-122.27,5.5
6391,144000.0,3,1.0,1250,8314,1.0,0,0,3,6,47.4522,-122.178,4.0
6395,470000.0,3,1.75,2290,14800,1.0,0,0,3,8,47.7735,-122.273,4.75
6398,225500.0,2,1.75,1590,11276,1.0,0,0,4,7,47.3177,-122.21,3.75
6400,279000.0,3,1.75,1750,9623,1.0,0,0,3,7,47.3997,-122.313,4.75
6401,470000.0,3,1.0,1460,8227,1.0,0,0,3,6,47.7009,-122.301,4.0
6402,565000.0,3,1.75,1540,4800,1.0,0,0,4,6,47.67,-122.284,4.75
6403,695000.0,3,2.0,2560,6800,1.0,0,1,4,8,47.5506,-122.395,5.0
6405,529000.0,3,2.5,1880,4499,2.0,0,0,3,8,47.5664,-121.999,5.5
6407,481500.0,3,2.25,1840,10500,2.0,0,0,3,7,47.7326,-122.234,5.25
6408,211000.0,3,2.0,1060,7412,1.0,0,0,3,7,47.3897,-122.051,5.0
6409,455000.0,3,2.25,1790,7500,1.0,0,0,3,7,47.7321,-122.198,5.25
6413,327500.0,4,2.25,2240,9600,2.0,0,0,3,8,47.361,-122.281,6.25
6417,445000.0,4,2.75,2320,12368,1.0,0,0,3,8,47.7373,-122.35,6.75
6418,257950.0,3,1.75,1370,5858,1.0,0,0,3,7,47.3815,-122.313,4.75
6419,375000.0,5,1.75,2230,7560,1.0,0,0,3,7,47.5055,-122.26,6.75
6420,245000.0,3,2.5,1610,7223,2.0,0,0,3,7,47.3661,-122.173,5.5
6423,330000.0,3,1.75,1850,14986,2.0,0,0,3,6,47.4837,-122.148,4.75
6425,354500.0,3,1.0,1150,11396,1.5,0,0,4,7,47.7435,-122.296,4.0
6426,279950.0,4,2.75,2420,8700,1.5,0,0,4,7,47.3109,-122.229,6.75
6427,284000.0,3,2.25,1580,7034,1.0,0,0,4,7,47.3564,-122.04,5.25
6433,445000.0,3,1.75,1120,4000,1.0,0,0,4,7,47.6684,-122.368,4.75
6434,595000.0,3,1.0,1560,3960,1.5,0,0,4,7,47.5936,-122.301,4.0
6435,165000.0,3,1.0,1380,7334,1.0,0,0,3,7,47.4339,-122.192,4.0
6436,278500.0,4,2.5,1940,6206,2.0,0,0,3,7,47.3063,-122.359,6.5
6437,517500.0,3,1.75,1810,10625,1.0,0,0,3,8,47.5322,-122.049,4.75
6438,343566.0,2,1.0,1100,4200,1.0,0,0,3,7,47.5312,-122.392,3.0
6439,286285.0,4,2.25,1980,9714,1.0,0,0,3,7,47.3207,-122.209,6.25
6440,474905.0,4,1.5,1340,6200,1.0,0,0,5,6,47.6214,-122.119,5.5
6441,550000.0,3,1.75,1680,4800,1.0,0,0,4,7,47.5535,-122.377,4.75
6444,449950.0,3,2.25,1610,5159,2.0,0,0,3,7,47.5675,-122.019,5.25
6445,259000.0,4,1.5,1490,7560,2.0,0,0,3,7,47.3684,-122.318,5.5
6446,340000.0,3,2.25,1900,8125,1.0,0,0,3,7,47.4564,-122.162,5.25
6448,490000.0,2,1.0,1840,3300,1.5,0,0,4,6,47.6757,-122.362,3.0
6449,344950.0,4,2.0,2330,6250,1.0,0,0,4,7,47.3782,-122.228,6.0
6453,377000.0,3,1.75,1680,7389,1.0,0,0,3,8,47.5199,-122.184,4.75
6454,595000.0,3,2.0,1530,6773,1.0,0,0,4,8,47.6653,-122.194,5.0
6456,360000.0,5,1.75,1550,5225,1.5,0,0,4,7,47.554,-122.306,6.75
6457,188000.0,3,1.75,1660,7350,1.0,0,0,2,8,47.3118,-122.337,4.75
6460,455000.0,3,1.0,1480,13280,2.5,0,0,3,6,47.5378,-122.043,4.0
6462,550000.0,3,2.25,1700,1481,3.0,0,0,3,8,47.6598,-122.349,5.25
6463,260000.0,3,1.75,1680,8725,1.0,0,0,3,8,47.3107,-122.397,4.75
6466,362000.0,4,2.5,2360,7370,1.0,0,0,3,7,47.7201,-122.308,6.5
6467,503500.0,3,2.5,1810,1750,2.0,0,0,3,7,47.6513,-122.386,5.5
6468,653000.0,3,2.5,2290,3475,2.0,0,0,3,9,47.5551,-122.001,5.5
6472,417500.0,5,1.75,2060,10911,1.0,0,0,4,7,47.7767,-122.365,6.75
6473,525000.0,3,1.5,1560,9350,1.0,0,0,4,7,47.6729,-122.148,4.5
6476,442500.0,4,2.25,2490,8700,1.0,0,0,3,7,47.7397,-122.324,6.25
6477,525000.0,4,1.75,1710,10440,1.0,0,0,4,7,47.5756,-122.158,5.75
6478,425500.0,4,1.75,1520,10630,1.0,0,0,4,7,47.7347,-122.193,5.75
6482,245000.0,3,2.25,1700,8100,1.0,0,0,3,7,47.3601,-122.046,5.25
6484,284000.0,4,2.5,2000,5390,2.0,0,0,3,7,47.3732,-122.129,6.5
6487,360000.0,4,2.0,1730,5500,1.0,0,0,5,7,47.5304,-122.353,6.0
6490,483300.0,4,2.0,1210,11100,1.0,0,0,4,7,47.5747,-122.145,6.0
6491,355000.0,4,2.5,2130,9268,2.0,0,0,4,8,47.262,-122.22,6.5
6492,274950.0,3,2.25,1570,8767,1.0,0,0,3,7,47.3568,-122.038,5.25
6496,309212.0,3,1.75,1150,9600,1.0,0,0,3,7,47.4434,-121.774,4.75
6497,219950.0,3,2.25,1500,7615,1.0,0,0,3,7,47.3146,-122.351,5.25
6498,690000.0,3,2.5,1300,5150,1.5,0,0,4,7,47.6838,-122.362,5.5
6499,250800.0,3,1.75,1290,4000,1.0,0,0,3,6,47.5309,-122.354,4.75
6503,305000.0,4,2.75,2030,8600,1.0,0,0,4,7,47.3942,-122.16,6.75
6507,535000.0,3,2.5,2110,8164,2.0,0,0,3,9,47.5269,-122.171,5.5
6509,255000.0,3,2.0,1590,8670,1.0,0,0,3,7,47.3725,-122.073,5.0
6510,327000.0,2,1.0,1070,9750,1.0,0,0,3,7,47.7532,-122.318,3.0
6513,199500.0,3,1.75,1160,5200,1.0,0,0,4,7,47.3643,-122.09,4.75
6516,527000.0,4,2.25,2380,5250,1.0,0,0,4,7,47.6164,-122.115,6.25
6517,199950.0,3,2.75,2270,13590,1.5,0,0,4,6,47.2099,-122.001,5.75
6518,254000.0,3,2.25,1660,8188,2.0,0,0,4,7,47.3766,-122.115,5.25
6520,585000.0,5,2.25,2480,12614,1.0,0,0,4,8,47.7393,-122.2,7.25
6521,450000.0,2,2.0,1900,7740,1.0,0,0,4,7,47.5227,-122.372,4.0
6522,565000.0,2,1.75,1670,4008,1.0,0,0,3,9,47.5539,-122.001,3.75
6523,330000.0,5,2.25,2000,7900,1.0,0,0,4,7,47.4291,-122.292,7.25
6525,585000.0,4,2.5,1860,8117,1.0,0,0,4,8,47.6228,-122.104,6.5
6527,225000.0,3,2.0,1400,7384,1.0,0,0,3,7,47.4655,-122.174,5.0
6528,295000.0,3,2.0,1400,7384,1.0,0,0,3,7,47.4655,-122.174,5.0
6530,280000.0,3,1.0,1370,11050,1.0,0,0,3,7,47.4485,-121.776,4.0
6531,539000.0,3,2.5,2170,3200,1.5,0,0,5,7,47.6543,-122.347,5.5
6532,567500.0,3,1.75,2570,14033,1.0,0,2,4,8,47.4335,-122.338,4.75
6533,442500.0,4,2.25,1970,7902,1.0,0,0,3,8,47.7249,-122.298,6.25
6535,610000.0,4,2.5,2300,10843,2.0,0,0,5,8,47.6988,-122.202,6.5
6536,544900.0,3,2.5,1990,4936,2.0,0,0,3,8,47.5911,-122.018,5.5
6538,532500.0,3,2.5,2160,7500,1.0,0,1,3,7,47.6188,-122.064,5.5
6541,530000.0,3,2.5,2030,10958,2.0,0,0,3,8,47.7251,-122.11,5.5
6542,346100.0,3,2.5,1400,2036,2.0,0,0,3,7,47.5516,-122.382,5.5
6544,365000.0,3,1.75,1410,9150,1.0,0,0,5,7,47.5683,-122.178,4.75
6546,318400.0,4,2.5,1820,6916,2.0,0,0,3,7,47.3862,-122.029,6.5
6547,498500.0,4,2.5,1910,7172,2.0,0,0,3,8,47.7615,-122.309,6.5
6548,450000.0,3,1.75,1540,7490,1.0,0,0,5,7,47.7222,-122.177,4.75
6549,200000.0,3,2.0,1430,7905,1.0,0,0,4,7,47.2757,-122.145,5.0
6553,410000.0,4,2.25,2060,7283,1.0,0,0,3,8,47.7435,-122.317,6.25
6554,475000.0,3,2.5,1920,4534,2.0,0,0,3,8,47.7144,-122.204,5.5
6557,573000.0,4,2.25,2150,9520,2.0,0,0,4,8,47.6885,-122.113,6.25
6558,330000.0,3,2.5,1660,2890,2.0,0,0,3,7,47.5434,-122.293,5.5
6559,252750.0,4,1.0,1230,7410,1.5,0,0,3,7,47.4798,-122.344,5.0
6561,280000.0,3,2.0,1280,7633,1.0,0,0,3,7,47.3883,-122.05,5.0
6562,535000.0,4,2.5,2240,6920,1.0,0,0,5,8,47.5011,-122.375,6.5
6563,580000.0,4,1.5,1780,5100,1.0,0,0,3,7,47.6944,-122.288,5.5
6564,301000.0,3,1.75,1840,7200,1.0,0,0,4,7,47.456,-122.209,4.75
6565,600000.0,4,1.75,1740,7700,1.0,0,0,5,7,47.6259,-122.111,5.75
6567,366000.0,3,2.5,2370,4375,2.0,0,0,3,8,47.354,-121.999,5.5
6568,303000.0,4,2.5,2100,6783,2.0,0,0,3,8,47.3504,-122.141,6.5
6569,432000.0,3,2.25,1470,1578,2.0,0,0,3,8,47.5388,-122.387,5.25
6570,300000.0,2,1.5,1300,6120,1.0,0,0,3,6,47.5088,-122.338,3.5
6572,500000.0,3,1.5,1190,4750,1.0,0,0,3,7,47.6726,-122.386,4.5
6574,470000.0,5,1.5,2180,4268,1.5,0,0,4,7,47.6848,-122.389,6.5
6575,480000.0,3,2.0,1460,7860,1.0,0,0,5,7,47.6233,-122.108,5.0
6576,536000.0,3,1.75,1530,8503,1.0,0,0,4,7,47.6872,-122.185,4.75
6579,260000.0,3,1.75,1710,6400,1.0,0,0,4,7,47.3036,-122.377,4.75
6580,284900.0,2,1.5,1160,982,2.0,0,0,3,7,47.7675,-122.315,3.5
6582,425000.0,2,1.0,1170,5000,1.0,0,0,4,7,47.5449,-122.388,3.0
6583,230000.0,3,1.0,1120,7500,1.0,0,0,3,7,47.5112,-122.359,4.0
6584,675000.0,3,1.5,1710,4000,2.0,0,0,3,8,47.5714,-122.385,4.5
6585,267500.0,3,1.75,1650,7807,1.0,0,0,3,7,47.3514,-122.167,4.75
6588,460000.0,3,2.0,1860,7232,1.0,0,0,3,7,47.7165,-122.319,5.0
6589,445000.0,3,2.5,2250,9608,2.0,0,0,3,8,47.4865,-121.802,5.5
6591,425000.0,3,1.75,2120,5992,1.0,0,0,3,7,47.7083,-122.308,4.75
6592,370000.0,4,2.5,2130,4750,2.0,0,0,3,8,47.4324,-122.184,6.5
6593,302000.0,2,1.75,1170,8200,1.0,0,0,4,6,47.3263,-122.305,3.75
6594,453000.0,4,1.75,2120,7420,1.0,0,0,4,7,47.6019,-122.13,5.75
6595,290000.0,3,1.75,1280,10716,1.0,0,0,4,7,47.4755,-122.145,4.75
6599,354000.0,3,1.5,1060,5750,1.0,0,2,4,7,47.5512,-122.371,4.5
6600,204950.0,4,1.75,1740,9344,1.0,0,0,3,7,47.3196,-122.399,5.75
6604,472500.0,3,2.5,1650,3711,2.0,0,0,3,8,47.6863,-122.093,5.5
6606,575575.0,3,1.75,1516,2897,1.0,0,0,3,7,47.6842,-122.341,4.75
6608,340000.0,3,2.25,2580,7434,1.0,0,0,3,7,47.7446,-122.332,5.25
6610,299950.0,2,1.75,1460,10506,1.0,0,0,3,7,47.4048,-122.178,3.75
6612,340000.0,4,2.5,2090,4200,2.0,0,0,3,7,47.3659,-122.017,6.5
6613,515000.0,4,2.25,2470,7800,1.0,0,0,3,8,47.6913,-122.115,6.25
6614,601000.0,4,2.5,2090,6906,2.0,0,0,4,8,47.5718,-121.996,6.5
6615,470000.0,3,2.5,2070,8581,2.0,0,0,3,8,47.5101,-122.151,5.5
6616,371500.0,3,1.0,1650,6400,1.0,0,0,4,7,47.52,-122.365,4.0
6618,242550.0,4,2.5,2060,7720,2.0,0,0,3,8,47.2956,-122.374,6.5
6619,367500.0,3,1.5,1410,9647,1.0,0,0,3,8,47.7608,-122.361,4.5
6621,204900.0,3,2.0,1390,8245,1.0,0,0,2,7,47.2669,-122.254,5.0
6623,187000.0,3,1.5,1280,4452,2.0,0,0,3,6,47.3344,-122.216,4.5
6628,612000.0,4,2.5,2670,5974,2.0,0,0,3,8,47.7122,-122.231,6.5
6629,400000.0,3,2.0,1350,7216,1.0,0,0,3,7,47.7616,-122.365,5.0
6633,471000.0,3,1.75,1640,10123,1.0,0,0,3,8,47.7698,-122.167,4.75
6634,350000.0,3,1.0,1540,9800,1.0,0,0,4,7,47.7604,-122.329,4.0
6635,530000.0,4,2.5,2370,9601,1.0,0,0,3,8,47.5327,-122.054,6.5
6636,415000.0,4,3.0,1830,9548,2.0,0,0,3,7,47.7379,-122.224,7.0
6637,639500.0,4,2.25,2330,8994,2.0,0,0,3,8,47.7264,-122.104,6.25
6639,378000.0,2,2.5,1700,2513,2.0,0,0,3,8,47.5163,-121.878,4.5
6640,265000.0,3,2.25,1750,9298,1.0,0,0,4,7,47.4579,-122.164,5.25
6641,212000.0,3,1.75,1100,9750,1.0,0,0,4,6,47.2955,-122.362,4.75
6642,400000.0,4,3.0,2320,13068,2.0,0,2,3,8,47.3497,-122.317,7.0
6646,350000.0,3,2.75,2370,4632,2.0,0,0,3,7,47.3794,-122.022,5.75
6647,168000.0,3,1.0,1200,7210,1.0,0,0,4,6,47.3729,-122.183,4.0
6648,358000.0,4,2.0,2200,3060,1.0,0,0,3,7,47.565,-122.284,6.0
6650,442500.0,3,1.75,1600,10280,1.0,0,0,3,7,47.725,-122.174,4.75
6651,515000.0,2,2.5,1330,1249,3.0,0,0,3,8,47.6668,-122.285,4.5
6653,659000.0,3,2.5,2510,6320,2.0,0,0,3,9,47.5868,-122.033,5.5
6654,414999.0,4,2.5,2150,10098,1.0,0,0,3,7,47.7166,-122.201,6.5
6655,275000.0,3,1.5,1180,10277,1.0,0,0,3,6,47.488,-121.787,4.5
6658,424000.0,3,2.5,1820,7500,2.0,0,0,3,8,47.7155,-122.104,5.5
6659,455000.0,2,1.0,1070,5150,1.0,0,0,4,6,47.6853,-122.366,3.0
6660,463000.0,2,1.0,1250,5650,2.0,0,1,4,7,47.5495,-122.377,3.0
6663,615000.0,4,1.75,2270,9830,1.0,0,0,4,8,47.5999,-122.176,5.75
6668,590000.0,2,1.0,1530,6450,1.0,0,0,4,7,47.6833,-122.398,3.0
6669,323000.0,5,2.5,2500,13034,1.0,0,0,3,7,47.3343,-122.194,7.5
6670,279000.0,4,2.0,1560,7569,1.5,0,0,4,7,47.4496,-122.155,6.0
6671,535100.0,3,2.25,2070,7207,1.0,0,0,3,8,47.7735,-122.371,5.25
6674,535900.0,3,2.25,1880,10880,1.0,0,0,3,8,47.5937,-122.116,5.25
6675,230000.0,3,1.0,1250,8800,1.0,0,0,3,7,47.497,-122.357,4.0
6676,325500.0,4,1.75,2290,8142,1.0,0,0,4,7,47.4564,-122.211,5.75
6677,359000.0,3,2.25,1990,4331,2.0,0,0,3,7,47.4917,-122.167,5.25
6678,505000.0,3,2.5,2100,5824,2.0,0,2,3,8,47.5334,-121.867,5.5
6680,369950.0,3,1.75,1640,4860,1.0,0,0,3,8,47.7125,-122.32,4.75
6681,350000.0,3,2.25,1860,8378,2.0,0,0,3,7,47.3875,-122.032,5.25
6682,650000.0,4,2.25,2100,2500,3.0,0,0,3,8,47.6726,-122.298,6.25
6686,246000.0,3,1.0,1400,7410,1.0,0,0,3,6,47.4798,-122.343,4.0
6687,430000.0,3,2.75,2600,12860,1.0,0,0,3,7,47.695,-121.918,5.75
6688,509990.0,3,2.0,1440,4859,2.0,0,0,2,6,47.5503,-122.285,5.0
6689,490000.0,4,1.75,1870,9500,1.0,0,0,4,7,47.7012,-122.187,5.75
6692,185000.0,2,1.0,1122,9100,1.0,0,0,4,6,47.328,-122.341,3.0
6693,303500.0,3,1.5,1060,10464,1.0,0,0,4,7,47.7313,-122.229,4.5
6694,468000.0,4,2.5,2150,8165,1.0,0,0,3,8,47.773,-122.371,6.5
6698,203000.0,2,1.0,1080,9067,1.0,0,0,3,6,47.4815,-122.331,3.0
6699,657000.0,5,2.5,2530,10190,1.0,0,0,4,7,47.616,-122.115,7.5
6700,275000.0,3,1.0,1200,7800,1.0,0,0,4,7,47.5196,-122.371,4.0
6703,458500.0,2,1.75,1160,6828,1.0,0,0,3,7,47.6937,-122.298,3.75
6706,235000.0,4,1.75,1450,8891,1.5,0,0,3,7,47.478,-122.278,5.75
6707,286000.0,4,2.5,1820,7930,2.0,0,0,5,7,47.359,-122.05,6.5
6709,602000.0,4,1.75,2430,14000,1.0,0,0,4,7,47.6554,-122.134,5.75
6710,640000.0,3,1.5,1960,4080,1.5,0,0,3,7,47.6768,-122.31,4.5
6711,267000.0,3,1.75,1440,10920,1.0,0,0,4,8,47.3812,-122.168,4.75
6717,480000.0,4,1.75,2320,4322,1.0,0,0,3,7,47.5755,-122.289,5.75
6718,305000.0,3,2.5,1260,1622,3.0,0,0,3,8,47.7325,-122.343,5.5
6720,265000.0,4,1.5,1580,8468,2.0,0,0,4,7,47.3336,-122.281,5.5
6722,253000.0,3,1.0,1400,9750,1.0,0,0,3,7,47.3862,-122.304,4.0
6723,617950.0,4,2.5,2410,7950,2.0,0,0,3,8,47.7185,-122.226,6.5
6724,385000.0,4,3.25,1790,2460,2.0,0,0,4,7,47.534,-122.346,7.25
6725,319000.0,3,2.0,1640,9234,1.0,0,0,5,7,47.5162,-122.274,5.0
6726,696000.0,3,2.5,1670,8023,1.0,0,0,5,7,47.615,-122.117,5.5
6728,380000.0,3,2.5,1610,1778,3.0,0,0,3,7,47.6902,-122.306,5.5
6731,269950.0,3,1.75,1400,7735,1.0,0,0,4,7,47.357,-122.04,4.75
6733,299950.0,3,1.0,1210,9525,1.0,0,0,3,7,47.5274,-122.345,4.0
6736,495000.0,5,2.5,2200,4942,2.0,0,0,3,8,47.5772,-122.001,7.5
6738,333000.0,3,1.0,1620,5040,1.0,0,0,3,7,47.5263,-122.286,4.0
6739,247000.0,3,2.25,1580,7941,2.0,0,0,4,7,47.2843,-122.357,5.25
6740,204555.0,3,1.75,1260,15000,1.5,0,0,4,7,47.2737,-122.153,4.75
6741,432000.0,3,2.0,2190,13673,1.0,0,0,4,9,47.3542,-122.098,5.0
6742,175000.0,3,1.75,1230,13056,1.0,0,0,4,7,47.3171,-122.279,4.75
6743,556300.0,4,2.5,2030,7140,1.0,0,0,4,7,47.6244,-122.109,6.5
6745,320000.0,2,1.5,1110,1200,3.0,0,0,3,8,47.6931,-122.342,3.5
6747,385000.0,4,1.75,1660,10757,1.0,0,0,3,7,47.5071,-122.194,5.75
6749,350000.0,4,2.25,2390,13002,2.0,0,0,3,8,47.3111,-122.35,6.25
